text,lang,text_en
"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters",en,"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters"
"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",en,"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica"
LAC tensions: China's strategy behind deliberately failing talks with India,en,LAC tensions: China's strategy behind deliberately failing talks with India
India has signed 250 documents on Space cooperation with 59 countries: ISRO chief,en,India has signed 250 documents on Space cooperation with 59 countries: ISRO chief
Tamil Nadu chief minister's mother passes away at 93,en,Tamil Nadu chief minister's mother passes away at 93
Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur,en,Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur
"Hathras case: CBI reaches victim's village, visits crime scene",en,"Hathras case: CBI reaches victim's village, visits crime scene"
"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody",en,"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody"
"Mumbai: BMC to book, penalise people stepping out without face masks",en,"Mumbai: BMC to book, penalise people stepping out without face masks"
"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",en,"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh"
"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'",en,"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'"
Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,en,Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates
PM Modi releases Balasaheb Vikhe Patil's autobiography,en,PM Modi releases Balasaheb Vikhe Patil's autobiography
"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale",en,"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale"
Mumbai power outage: Fire reported in hospital,en,Mumbai power outage: Fire reported in hospital
"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095",en,"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095"
Indian exports to Armenia increased three-fold in past three years,en,Indian exports to Armenia increased three-fold in past three years
"7 Indian hostages freed in Libya, all in good health: MEA",en,"7 Indian hostages freed in Libya, all in good health: MEA"
"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone",en,"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone"
Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces,en,Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces
"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",en,"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray"
"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe",en,"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe"
Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician,en,Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician
Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours,en,Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours
"Mumbai suffers major power outage, local train services affected",en,"Mumbai suffers major power outage, local train services affected"
"India, China to hold 7th Corps Commander-level talks today at Chushul",en,"India, China to hold 7th Corps Commander-level talks today at Chushul"
"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students",en,"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students"
"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns",en,"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns"
Seven Indians kidnapped in Libya in September released,en,Seven Indians kidnapped in Libya in September released
"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court",en,"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court"
Delhi government exempts road tax for battery operated vehicles,en,Delhi government exempts road tax for battery operated vehicles
"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions",en,"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions"
"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list",en,"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list"
Andhra govt complains to CJI against alleged intervention by sitting SC judge,en,Andhra govt complains to CJI against alleged intervention by sitting SC judge
"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly",en,"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly"
Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,en,Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains
"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30",en,"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30"
"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer",en,"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer"
"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad",en,"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad"
BJP releases list of candidates for by-elections in 5 states,en,BJP releases list of candidates for by-elections in 5 states
'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic,en,'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic
Congress woman leader beaten up by party workers for questioning decision to field 'rapist',en,Congress woman leader beaten up by party workers for questioning decision to field 'rapist'
SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know,en,SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know
CBI registers FIR against accused in Hathras gang-rape case; takes over investigation,en,CBI registers FIR against accused in Hathras gang-rape case; takes over investigation
'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage,en,'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage
"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates",en,"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates"
SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11,en,SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11
Assam: Kamakhya temple to open for devotees from today,en,Assam: Kamakhya temple to open for devotees from today
"Hathras gang-rape case transferred to CBI, FIR to be filed soon",en,"Hathras gang-rape case transferred to CBI, FIR to be filed soon"
Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma,en,Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma
"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here",en,"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here"
Bihar Assembly Election 2020: Congress releases list of 30-star campaigners,en,Bihar Assembly Election 2020: Congress releases list of 30-star campaigners
Last rites of Ram Vilas Paswan performed in Patna with full state honours,en,Last rites of Ram Vilas Paswan performed in Patna with full state honours
"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in",en,"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in"
"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989",en,"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989"
Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda,en,Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda
"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10",en,"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10"
EC issues revised guidelines for upcoming polls; limits number of star campaigners,en,EC issues revised guidelines for upcoming polls; limits number of star campaigners
Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas,en,Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas
Last rites of Ram Vilas Paswan to take place in Patna today with full state honours,en,Last rites of Ram Vilas Paswan to take place in Patna today with full state honours
"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10",en,"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10"
"DNA Special: How adulterated vegetables are affecting our health, well-being",en,"DNA Special: How adulterated vegetables are affecting our health, well-being"
Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel,en,Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel
"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow",en,"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow"
More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official,en,More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official
"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam",en,"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam"
"West Bengal: Man arrested with firearm in BJP rally, controversy erupts over his turban being pulled out",en,"West Bengal: Man arrested with firearm in BJP rally, controversy erupts over his turban being pulled out"
"Rajasthan temple priest set on fire in Karauli over land dispute, accused arrested",en,"Rajasthan temple priest set on fire in Karauli over land dispute, accused arrested"
Kerala: Padmanabhaswamy Temple closed for darshan till Oct 15 after 10 priests test COVID-19 positive,en,Kerala: Padmanabhaswamy Temple closed for darshan till Oct 15 after 10 priests test COVID-19 positive
PM Modi to launch physical distribution of property cards under SVAMITVA Scheme on October 11,en,PM Modi to launch physical distribution of property cards under SVAMITVA Scheme on October 11
"Piyush Goyal gets additional charge of Ministry of Consumer Affairs, Food and Public Distribution",en,"Piyush Goyal gets additional charge of Ministry of Consumer Affairs, Food and Public Distribution"
"President, PM Modi, others pay last respects to former minister Ram Vilas Paswan",en,"President, PM Modi, others pay last respects to former minister Ram Vilas Paswan"
"India reports 70,496 new cases, 964 deaths; tally breaches 69 lakh-mark",en,"India reports 70,496 new cases, 964 deaths; tally breaches 69 lakh-mark"
"To curb air pollution, action plan to be implemented from October 15 in Delhi-NCR",en,"To curb air pollution, action plan to be implemented from October 15 in Delhi-NCR"
"COVID-19 cases in Delhi may surge to 15,000 per day in winters: Report",en,"COVID-19 cases in Delhi may surge to 15,000 per day in winters: Report"
DNA Special: TRP racket is big bad blot on journalism,en,DNA Special: TRP racket is big bad blot on journalism
National flag to fly at half mast on Friday as mark of respect to Ram Vilas Paswan,en,National flag to fly at half mast on Friday as mark of respect to Ram Vilas Paswan
Union Minister Ram Vilas Paswan dies days after heart surgery,en,Union Minister Ram Vilas Paswan dies days after heart surgery
"Reforms in education, labour, agriculture impact almost every Indian: PM Modi",en,"Reforms in education, labour, agriculture impact almost every Indian: PM Modi"
"Nabanno Chalo: BJP slams Bengal police for using 'chemical-filled' water cannons, Mamata govt refutes charges",en,"Nabanno Chalo: BJP slams Bengal police for using 'chemical-filled' water cannons, Mamata govt refutes charges"
"Bengal BJP workers clash with police during 'Nabanna Chalo' protest march, crowd dispersed with lathi-charge",en,"Bengal BJP workers clash with police during 'Nabanna Chalo' protest march, crowd dispersed with lathi-charge"
"Mumbai Police exposes racket to manipulate TRPs, two arrested; Republic TV on its radar",en,"Mumbai Police exposes racket to manipulate TRPs, two arrested; Republic TV on its radar"
"New Delhi-Lucknow Tejas Express to operate from October 17: Know train journey guidelines, book your ticket on IRCTC",en,"New Delhi-Lucknow Tejas Express to operate from October 17: Know train journey guidelines, book your ticket on IRCTC"
Hathras victim deserves justice not slander: Priyanka Gandhi,en,Hathras victim deserves justice not slander: Priyanka Gandhi
Indian Air Force Day 2020: Virat Kohli pays tribute to nationÕs heroes,en,Indian Air Force Day 2020: Virat Kohli pays tribute to nationÕs heroes
IAF displays prowess on 88th Air Force Day; COAS says ready to safeguard India in all circumstances,en,IAF displays prowess on 88th Air Force Day; COAS says ready to safeguard India in all circumstances
"Noida's Jewar International Airport will open floodgates of development in western Uttar Pradesh, here's how",en,"Noida's Jewar International Airport will open floodgates of development in western Uttar Pradesh, here's how"
Revised Unlock 5.0 guidelines: Home ministry issues fresh SOPs for political gatherings in election states,en,Revised Unlock 5.0 guidelines: Home ministry issues fresh SOPs for political gatherings in election states
"India takes strong punch at Pakistan, calls for strong action against terrorism supporters",en,"India takes strong punch at Pakistan, calls for strong action against terrorism supporters"
"Amid COVID-19 crisis, Maharashtra becomes first state to regulate prices of masks",en,"Amid COVID-19 crisis, Maharashtra becomes first state to regulate prices of masks"
US Election 2020: Kamala-Pence debate opens with clash over Trump administration's COVID-19 response,en,US Election 2020: Kamala-Pence debate opens with clash over Trump administration's COVID-19 response
DNA Special: Detailed analysis of Rahul Gandhi's claim of throwing Chinese Army out in 15 minutes,en,DNA Special: Detailed analysis of Rahul Gandhi's claim of throwing Chinese Army out in 15 minutes
"Mother, baby die during quack-assisted delivery in Noida, bodies dumped",en,"Mother, baby die during quack-assisted delivery in Noida, bodies dumped"
Taiwan tells China to 'get lost' after Chinese mission asks Indian media to follow 'one China' policy,en,Taiwan tells China to 'get lost' after Chinese mission asks Indian media to follow 'one China' policy
All you need to know about high-security registration plate and colour-coded stickers,en,All you need to know about high-security registration plate and colour-coded stickers
"Former CBI director Ashwani Kumar found hanging in Shimla home, say cops",en,"Former CBI director Ashwani Kumar found hanging in Shimla home, say cops"
Zee News Editor-in-Chief Sudhir Chaudhary gets call from Pakistan again,en,Zee News Editor-in-Chief Sudhir Chaudhary gets call from Pakistan again
"Atal tunnel: After 3 accidents in 72 hours, new rules come into effect",en,"Atal tunnel: After 3 accidents in 72 hours, new rules come into effect"
"Railway Ministry's private player train project receives 120 applications for 12 clusters, check full details",en,"Railway Ministry's private player train project receives 120 applications for 12 clusters, check full details"
India believes indigenous defence capabilities are foundations to peace: Rajnath Singh,en,India believes indigenous defence capabilities are foundations to peace: Rajnath Singh
Navratri 2020: UP CM Yogi Adityanath takes this big decision for women safety,en,Navratri 2020: UP CM Yogi Adityanath takes this big decision for women safety
"Income Tax raids in Patna, Sasaram and Varanasi; Rs 1.25 crore seized",en,"Income Tax raids in Patna, Sasaram and Varanasi; Rs 1.25 crore seized"
BRO builds India's longest steel bridge on Manali-Leh highway,en,BRO builds India's longest steel bridge on Manali-Leh highway
"Cabinet approves to complete Kolkata East-West Metro Corridor Project by 2021 for Rs 8,575 crores",en,"Cabinet approves to complete Kolkata East-West Metro Corridor Project by 2021 for Rs 8,575 crores"
"Amid border tensions with China, Indian defence forces considering 'Made in India' carbine",en,"Amid border tensions with China, Indian defence forces considering 'Made in India' carbine"
"RBSE class 10 supplementary exams: Results declared, check @rajeduboard.rajasthan.gov.in.",en,"RBSE class 10 supplementary exams: Results declared, check @rajeduboard.rajasthan.gov.in."
Centre decides to launch COVID-19 awareness campaign from today,en,Centre decides to launch COVID-19 awareness campaign from today
Bihar Assembly Election 2020: Know caste calculus of ticket distribution by BJP-RJD-Congress,en,Bihar Assembly Election 2020: Know caste calculus of ticket distribution by BJP-RJD-Congress
"Work on Jewar International Airport to start soon, key pact signed",en,"Work on Jewar International Airport to start soon, key pact signed"
PM Modi wishes Russian President Vladimir Putin on 68th birthday,en,PM Modi wishes Russian President Vladimir Putin on 68th birthday
"India, Japan finalise cybersecurity agreement on 5G, AI cooperation",en,"India, Japan finalise cybersecurity agreement on 5G, AI cooperation"
"Unlock 5.0 school reopening guidelines explained: Know when, how schools will open",en,"Unlock 5.0 school reopening guidelines explained: Know when, how schools will open"
Kashmir: Security forces eliminate four terrorists in 16 hours,en,Kashmir: Security forces eliminate four terrorists in 16 hours
Rajasthan: Minor girl gang-raped in Barmer; case registered,en,Rajasthan: Minor girl gang-raped in Barmer; case registered
Milestone: PM Modi enters 20th year in public office without break,en,Milestone: PM Modi enters 20th year in public office without break
AIADMK announces E Palaniswami as CM candidate for 2021 TN polls; gets 11-member steering committee,en,AIADMK announces E Palaniswami as CM candidate for 2021 TN polls; gets 11-member steering committee
Bihar Assembly Election 2020: List of Congress candidates likely to be fielded for 20 seats,en,Bihar Assembly Election 2020: List of Congress candidates likely to be fielded for 20 seats
"Bombay HC grants bail to Rhea Chakraborty, rejects brother Showik's plea",en,"Bombay HC grants bail to Rhea Chakraborty, rejects brother Showik's plea"
"Amid COVID-19, 85.17% voter turnout recorded in third phase of Rajasthan Panchayat elections",en,"Amid COVID-19, 85.17% voter turnout recorded in third phase of Rajasthan Panchayat elections"
"Hathras case: On Yogi's orders, SIT gets 10-day extension to submit report",en,"Hathras case: On Yogi's orders, SIT gets 10-day extension to submit report"
"Jobs for women in AP: 5,905 Anganwadi posts to be filled soon",en,"Jobs for women in AP: 5,905 Anganwadi posts to be filled soon"
"Data: Between 2000 & 2020, Asian American voters grew by 139%, more than any other group",en,"Data: Between 2000 & 2020, Asian American voters grew by 139%, more than any other group"
Data: The analysis of Electoral Bonds sold in January 2020,en,Data: The analysis of Electoral Bonds sold in January 2020
Polls to 55 Rajya Sabha Seats: NDA may lose 4 to 5 seats while UPA may gain 3 seats,en,Polls to 55 Rajya Sabha Seats: NDA may lose 4 to 5 seats while UPA may gain 3 seats
Political donations through Electoral Bonds are 10 times the contributions received by Electoral Trusts,en,Political donations through Electoral Bonds are 10 times the contributions received by Electoral Trusts
"Income of National Parties soars in 2018-19, thanks to Electoral Bonds",en,"Income of National Parties soars in 2018-19, thanks to Electoral Bonds"
"6 years on, NOTA vote share declines. Reserved seats still poll a higher NOTA share",en,"6 years on, NOTA vote share declines. Reserved seats still poll a higher NOTA share"
Decline in NOTA share continues in Jharkhand Assembly Elections of 2019,en,Decline in NOTA share continues in Jharkhand Assembly Elections of 2019
Only Half the State parties submitted their audit & contribution reports till date,en,Only Half the State parties submitted their audit & contribution reports till date
Both the BJP & Congress submit details of Electoral Bond donors after the Supreme CourtÕs due date?,en,Both the BJP & Congress submit details of Electoral Bond donors after the Supreme CourtÕs due date?
"Amidst the debate around ÔOne Nation, One ElectionÕ, here is a look at other Electoral Reform proposals?",en,"Amidst the debate around ÔOne Nation, One ElectionÕ, here is a look at other Electoral Reform proposals?"
"Till date, Electoral bonds worth ? 4715 Crores encashed in New Delhi alone",en,"Till date, Electoral bonds worth ? 4715 Crores encashed in New Delhi alone"
[Infographic] The Story of Electoral Bonds,en,[Infographic] The Story of Electoral Bonds
"Even in 2019, greater vote share for NOTA in ÔReserved ConstituenciesÕ",en,"Even in 2019, greater vote share for NOTA in ÔReserved ConstituenciesÕ"
2019 Lok Sabha Elections: NOTA Vote share highest in Bihar,en,2019 Lok Sabha Elections: NOTA Vote share highest in Bihar
[Video] Here is how the Counting of Votes takes place,en,[Video] Here is how the Counting of Votes takes place
? 3622 Crores is the amount of Electoral Bonds purchased in March & April 2019?,en,? 3622 Crores is the amount of Electoral Bonds purchased in March & April 2019?
Data doesnÕt indicate any correlation between use of EVMs & Anti-Incumbency,en,Data doesnÕt indicate any correlation between use of EVMs & Anti-Incumbency
Why is there no readjustment of Lok Sabha seats after every Census?,en,Why is there no readjustment of Lok Sabha seats after every Census?
How is Security Deployment Plan for Elections made?,en,How is Security Deployment Plan for Elections made?
Tracking BJPÕs 2014 Manifesto Promises: Health Services -1,en,Tracking BJPÕs 2014 Manifesto Promises: Health Services -1
Clearing the air on Tendered Votes & other special cases,en,Clearing the air on Tendered Votes & other special cases
When 480 candidates contested from Nalgonda,en,When 480 candidates contested from Nalgonda
Less than 1% NRIs registered as Voters. More than 90% of the registered from Kerala,en,Less than 1% NRIs registered as Voters. More than 90% of the registered from Kerala
2014 Vs 2019: Andhra Pradesh is the only state where the number of Voters has decreased,en,2014 Vs 2019: Andhra Pradesh is the only state where the number of Voters has decreased
More than 50% of the Income of National Parties in 2017-18 from ÔUnknown SourcesÕ,en,More than 50% of the Income of National Parties in 2017-18 from ÔUnknown SourcesÕ
The Diminishing role of ÔIndependent CandidatesÕ in Lok Sabha elections,en,The Diminishing role of ÔIndependent CandidatesÕ in Lok Sabha elections
What is the expenditure incurred for conducting ÔLok SabhaÕ Elections?,en,What is the expenditure incurred for conducting ÔLok SabhaÕ Elections?
The Curious case of NOTA vote in Reserved Constituencies,en,The Curious case of NOTA vote in Reserved Constituencies
Data suggests that support for NOTA is decreasing,en,Data suggests that support for NOTA is decreasing
"Number of Political parties increased twofold in the last 10 years, crosses the 2000 mark",en,"Number of Political parties increased twofold in the last 10 years, crosses the 2000 mark"
How many times did a Political Party secure more than 50% of the polled vote?,en,How many times did a Political Party secure more than 50% of the polled vote?
[Explainer Video] What is the Model Code of Conduct enforced during Elections?,en,[Explainer Video] What is the Model Code of Conduct enforced during Elections?
[Video] When do Political Parties get recognized as ÔStateÕ or ÔNationalÕ Party?,en,[Video] When do Political Parties get recognized as ÔStateÕ or ÔNationalÕ Party?
"What do alphabets ÔEÕ, ÔSÕ, ÔQÕ, ÔRÕ, ÔMÕ on the Electoral Roll indicate?",en,"What do alphabets ÔEÕ, ÔSÕ, ÔQÕ, ÔRÕ, ÔMÕ on the Electoral Roll indicate?"
Who stands to benefit from Simultaneous Elections?,en,Who stands to benefit from Simultaneous Elections?
Why are Electoral Bonds not available in some cities? Because SBI is yet to update the software,en,Why are Electoral Bonds not available in some cities? Because SBI is yet to update the software
Are Voters preferring NOTA? Ð Part 1,en,Are Voters preferring NOTA? Ð Part 1
A detailed review of newly launched ÔRTI OnlineÕ portal of Election Commission of India,en,A detailed review of newly launched ÔRTI OnlineÕ portal of Election Commission of India
Source of Income in Election affidavit Ð What did some of the prominent candidates in Karnataka mention?,en,Source of Income in Election affidavit Ð What did some of the prominent candidates in Karnataka mention?
Fact Check: Amit Shah is wrong. BJP lost only 6 seats with a margin less than NOTA,en,Fact Check: Amit Shah is wrong. BJP lost only 6 seats with a margin less than NOTA
The NOTA story of 2018 Karnataka elections,en,The NOTA story of 2018 Karnataka elections
Making sense of the Rajya Sabha results (March 2018),en,Making sense of the Rajya Sabha results (March 2018)
[Explainer Video] Electoral Bonds & their Impact,en,[Explainer Video] Electoral Bonds & their Impact
The NOTA Story of Gujarat 2017,en,The NOTA Story of Gujarat 2017
"Amidst the tussle between Govt & EC, the Citizen suffers",en,"Amidst the tussle between Govt & EC, the Citizen suffers"
Scuttling Transparency? ÊElection Commission does not respond to 2000 ÔRTI OnlineÕ applications,en,Scuttling Transparency? ÊElection Commission does not respond to 2000 ÔRTI OnlineÕ applications
How to become an Indian Voter?,en,How to become an Indian Voter?
The Math of Rajya Sabha elections,en,The Math of Rajya Sabha elections
Why did the EC reject the votes of Gujarat Congress MLAs?,en,Why did the EC reject the votes of Gujarat Congress MLAs?
"After 20 different elections, Congress party now opposes NOTA in RS elections",en,"After 20 different elections, Congress party now opposes NOTA in RS elections"
What is the highest ever vote share of the Winner in the Presidential Election?,en,What is the highest ever vote share of the Winner in the Presidential Election?
A DummyÕs Guide to the Vice-PresidentÕs Election,en,A DummyÕs Guide to the Vice-PresidentÕs Election
A DummyÕs Guide to the President of IndiaÕs election,en,A DummyÕs Guide to the President of IndiaÕs election
What is the lowest ever voting percentage in an election in Jammu & Kashmir?,en,What is the lowest ever voting percentage in an election in Jammu & Kashmir?
Are you an Overseas Indian willing to Vote in Indian Elections? Here is something for you,en,Are you an Overseas Indian willing to Vote in Indian Elections? Here is something for you
A quarter of the seats in Tamil Nadu were won with a margin of less than 3%,en,A quarter of the seats in Tamil Nadu were won with a margin of less than 3%
Who is in power 2011 Ð 2016?,en,Who is in power 2011 Ð 2016?
Did NOTA make an impact in the five states?,en,Did NOTA make an impact in the five states?
These 69 seats may well decide the fate of Tamil Nadu elections,en,These 69 seats may well decide the fate of Tamil Nadu elections
The curious case of Sambhaji Lakshman Patil Ð How the law is helping him hold two positions (that of a MLA & a Councilor),en,The curious case of Sambhaji Lakshman Patil Ð How the law is helping him hold two positions (that of a MLA & a Councilor)
Here is how the members of the Legislative Council (Vidhan Parishad) in states are elected,en,Here is how the members of the Legislative Council (Vidhan Parishad) in states are elected
NOTA count more than the Margin of Victory in 21 constituencies of Bihar,en,NOTA count more than the Margin of Victory in 21 constituencies of Bihar
Statistical Highlights of the Bihar 2015 Assembly Elections Ð Part 1,en,Statistical Highlights of the Bihar 2015 Assembly Elections Ð Part 1
The Election Commission Suspends Voter ID Ð Aadhaar Seeding following the Supreme Court Order,en,The Election Commission Suspends Voter ID Ð Aadhaar Seeding following the Supreme Court Order
Linking your Voter ID with Aadhaar is not mandatory & your name will not be deleted from the Voter List,en,Linking your Voter ID with Aadhaar is not mandatory & your name will not be deleted from the Voter List
The Financial Reporting of our Political Parties is as good as Nothing,en,The Financial Reporting of our Political Parties is as good as Nothing
Number of Political Parties in India growing Faster than the Economy,en,Number of Political Parties in India growing Faster than the Economy
AAPÕs Thumping Victory in Numbers Ð Analysis of Delhi Assembly Elections 2015 Results,en,AAPÕs Thumping Victory in Numbers Ð Analysis of Delhi Assembly Elections 2015 Results
"Protests Against Farm Laws: Day after he asked farmers to burn PMÛas effigy, Chaduni booked for Û÷promoting enmityÛa",en,"Protests Against Farm Laws: Day after he asked farmers to burn PMÛas effigy, Chaduni booked for Û÷promoting enmityÛa"
Himachal to resume interstate bus service from today,en,Himachal to resume interstate bus service from today
Railways to operate 392 festival special trains from October 20 to November 30,en,Railways to operate 392 festival special trains from October 20 to November 30
"As soyabean price inches closer to MSP, farmers follow Û÷wait & watchÛa policy to offload their product",en,"As soyabean price inches closer to MSP, farmers follow Û÷wait & watchÛa policy to offload their product"
"Show cause notices for closure issued to Flipkart, Patanjali over PWM Rules, CPCB tells NGT",en,"Show cause notices for closure issued to Flipkart, Patanjali over PWM Rules, CPCB tells NGT"
"Three Dalit sisters, all minors, attacked with acid in Uttar Pradesh",en,"Three Dalit sisters, all minors, attacked with acid in Uttar Pradesh"
Aarogya Setu app helped identify Covid-19 clusters: WHO,en,Aarogya Setu app helped identify Covid-19 clusters: WHO
Congress leader files counter-complaint against woman party worker over Deoria meeting ruckus,en,Congress leader files counter-complaint against woman party worker over Deoria meeting ruckus
Rajya Sabha polls to fill 11 vacancies on November 9,en,Rajya Sabha polls to fill 11 vacancies on November 9
Disturbed Areas Act amendment in Gujarat gets Presidential assent: Pradeepsinh Jadeja,en,Disturbed Areas Act amendment in Gujarat gets Presidential assent: Pradeepsinh Jadeja
"14 Days after giving birth, GhaziabadÛas officer for Covid returns to office, with newborn in tow",en,"14 Days after giving birth, GhaziabadÛas officer for Covid returns to office, with newborn in tow"
